ASIN,impressions,clicks,units sold,spend,14 day total sales,count of campaigns,campaign,ISBN,CTR,CRV,ACOS,ROAS,period,source_file
1797228781,282018.0,1564.0,103.0,276.5299999999999,1077.3100000000002,1.0,,,0.005545745307037139,0.06585677749360613,0.25668563366162,3.895816005496693,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1452168660,278473.0,1672.0,108.0,274.84999999999997,2202.98,23.0,,,0.006004172756425219,0.0645933014354067,0.12476282126937147,8.015208295433874,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1616898062,405780.0,949.0,29.0,273.96,2357.75,23.0,,,0.0023387057025974667,0.030558482613277135,0.11619552539497402,8.606183384435685,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797222996,255897.0,750.0,66.0,264.16,1872.73,29.0,,,0.0029308667159052273,0.088,0.14105610525809914,7.089377649909145,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797226665,360131.0,1436.0,102.0,259.56,1372.2000000000003,27.0,,,0.003987437904540292,0.07103064066852367,0.18915609969392214,5.286638927415628,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
179722221X,244714.0,811.0,57.0,257.94000000000005,843.43,60.0,,9781797222219,0.003314072754317285,0.07028360049321825,0.3058226527394094,3.2698689617740553,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1784881112,145343.42857142858,628.3571428571429,64.14285714285714,257.7264285714286,936.6714285714286,28.0,,,0.004323258017464055,0.10208025463226099,0.2751513718791465,3.63436312590593,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1797212575,205627.0,723.0,44.0,256.97999999999996,1337.8400000000001,17.0,,,0.0035160752235844513,0.06085753803596127,0.19208575016444412,5.206008249669236,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B08RC8VVDF,201752.66666666666,744.0,68.0,253.23999999999995,1394.0633333333335,29.0,,9791027610006,0.003687683599390673,0.0913978494623656,0.1816560223232325,5.504909703575003,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1743797567,228826.0,1020.0,65.0,251.59999999999997,960.6999999999996,23.0,,,0.004457535419926058,0.06372549019607843,0.2618923701467681,3.8183624801271847,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
1743799195,151157.0,665.0,43.0,224.73000000000002,1360.95,26.0,,,0.004399399300065495,0.06466165413533835,0.16512730078254162,6.05593378721132,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
