PERIOD,ISBN,PT,qty
202004,9781452162904,BK,5
202004,9780811863537,BK,5
202102,9781452150284,BK,5
202004,9781452166469,BK,5
202207,9781452182759,BK,6
202410,9781452145150,BK,6
202409,9781452150284,BK,6
202005,9781452163420,BK,6
202004,9781452129167,BK,6
202402,9781452182759,BK,6
202505,9781452147383,FT,6
202502,9781452170756,BK,6
202209,9781452163420,BK,6
202004,9781452126500,BK,6
202005,9781452117331,FT,6
202108,9780811824996,BK,6
202401,9781452151601,BK,6
202408,9781452165110,FT,6
202211,9781452145150,BK,6
202406,9781452182216,BK,6
202205,9780811856454,BK,6
202004,9781452144832,BK,6
202309,9781452174136,BK,6
202005,9781452145808,FT,6
202104,9781452159249,BK,6
202108,9781452114415,BK,6
202205,9780811863711,FT,6
202401,9780811851534,FT,6
202111,9781452152103,BK,6
202402,9781452145150,BK,6
202304,9781452178844,BK,6
202005,9780811822176,FT,6
202107,9781452134345,FT,6
202212,9781452178752,FT,6
202004,9781452178844,BK,6
202411,9781452145150,BK,6
202202,9780811879422,BK,6
202004,9780811821322,BK,6
202206,9781452178844,BK,6
202206,9780811807180,BK,6
202412,9781452147383,FT,6
202305,9781452165110,FT,6
202501,9780811807180,BK,6
202002,9781452145150,BK,6
202205,9781452147383,FT,6
202109,9781452169132,BK,6
202310,9780811822176,FT,6
202201,9781452144832,BK,7
202505,9781452159249,BK,7
202206,9781452147383,FT,7
202404,9781452145150,BK,7
202004,9781452114415,BK,7
202502,9780811879422,BK,7
202205,9781452117348,FT,7
202406,9781452182759,BK,7
202102,9781452182827,BK,7
202312,9781452168401,BK,7
202401,9781452159249,BK,7
202011,9780811851534,FT,7
202202,9781452156125,BK,7
202309,9781452159249,BK,7
202112,9781452145150,BK,7
202209,9781452145150,BK,7
202205,9780811830904,BK,7
202102,9781452164366,BK,7
202203,9781452102108,FT,7
202404,9781452165141,BK,7
202405,9781452147383,FT,7
202108,9781452147383,FT,7
202505,9781452150147,BK,7
202109,9781452150284,BK,7
202208,9781452169132,BK,7
202204,9781452102108,FT,7
202502,9781616895327,BK,7
202205,9781452158228,BK,7
202005,9780811877565,BK,7
202112,9780811834155,BK,7
202302,9781452145150,BK,7
202301,9781452144832,BK,7
202004,9780811822176,FT,7
